Vg (V),Isd (A)
0.46,0.000104918479
0.47,0.000107038039
0.48,0.000110217399
0.49,0.000112296198
0.5,0.000114415758
0.51,0.000116453804
0.52,0.000118491844
0.53,0.000120652177
0.54,0.000122771744
0.55,0.000124850543
0.56,0.000126970117
0.57,0.000129048916
0.58,0.000130842396
0.59,0.000132921195
0.6,0.000135081529
0.61,0.000137160328
0.62,0.000139361407
0.63,0.000141480981
0.64,0.00014360054
0.65,0.000145720114
0.66,0.000147839673
0.67,0.000149999993
0.68,0.000152160326
0.69,0.000155339672
0.7,0.000157500006
0.71,0.000159619565
0.72,0.000161779884
0.73,0.000163899458
0.74,0.000166141297
0.75,0.000168260871
0.76,0.00017038043
0.77,0.000172540764
0.78,0.000174660323
0.79,0.000176820657
0.8,0.000178899456
0.81,0.00018110055
0.82,0.000183260869
0.83,0.000185421202
0.84,0.000187581521
0.85,0.000189660321
0.86,0.000191861414
0.87,0.000194021733
0.88,0.000196141307
0.89,0.000198383146
0.9,0.000201154893
0.91,0.000203315212
0.92,0.000205434786
0.93,0.000207513585
0.94,0.000209592385
0.95,0.000211671198
0.96,0.000213790758
0.97,0.000215910317
0.98,0.000217989145
0.99,0.000220108705
1.0,0.000222187504
-1.0,-0.000211426624
-0.99,-0.000209266305
-0.98,-0.000207432066
-0.97,-0.000205312506
-0.96,-0.000203192933
-0.95,-0.000199891307
-0.94,-0.000197730988
-0.93,-0.000195570654
-0.92,-0.00019341032
-0.91,-0.000191209241
-0.9,-0.000189089667
-0.89,-0.000186929348
-0.88,-0.000184769015
-0.87,-0.000182608695
-0.86,-0.000180489136
-0.85,-0.000178369562
-0.84,-0.000176209243
-0.83,-0.00017400815
-0.82,-0.00017192935
-0.81,-0.000169769017
-0.8,-0.000167567938
-0.79,-0.000165448364
-0.78,-0.000163328805
-0.77,-0.000161209231
-0.76,-0.000159048912
-0.75,-0.000156847818
-0.74,-0.000153668487
-0.73,-0.000151548913
-0.72,-0.000149429354
-0.71,-0.00014726902
-0.7,-0.000145149446
-0.69,-0.000143029902
-0.68,-0.000140869568
-0.67,-0.000139076088
-0.66,-0.000136997289
-0.65,-0.000134877715
-0.64,-0.000132717381
-0.63,-0.000130597837
-0.62,-0.000128478263
-0.61,-0.000126399464
-0.6,-0.00012423913
-0.59,-0.000122160331
-0.58,-0.000119999997
-0.57,-0.000117921198
-0.56,-0.000115801624
-0.55,-0.000113682057
-0.54,-0.000111562505
-0.53,-0.000108301632
-0.52,-0.000106222826
-0.51,-0.000104144019
-0.5,-0.000101983693
-0.49,-9.9823374e-05
-0.48,-9.7703807e-05
-0.47,-9.5584241e-05
-0.46,-9.3505434e-05
-0.45,-9.1345108e-05
-0.44,-8.9184781e-05
-0.43,-8.7105975e-05
-0.42,-8.4945648e-05
-0.41,-8.2785322e-05
-0.4,-8.0665755e-05
-0.39,-7.8546196e-05
-0.38,-7.638587e-05
-0.37,-7.4266303e-05
-0.36,-7.2472831e-05
-0.35,-7.0230977e-05
-0.34,-6.8070658e-05
-0.33,-6.5910324e-05
-0.32,-6.2690218e-05
-0.31,-6.0529892e-05
-0.3,-5.8369566e-05
-0.29,-5.6209239e-05
-0.28,-5.4008149e-05
-0.27,-5.1807066e-05
-0.26,-4.96875e-05
-0.25,-4.7527174e-05
-0.24,-4.5407607e-05
-0.23,-4.3206524e-05
-0.22,-4.1046194e-05
-0.21,-3.8885868e-05
-0.2,-3.6847825e-05
-0.19,-3.4646739e-05
-0.18,-3.2445652e-05
-0.17,-3.0326088e-05
-0.16,-2.8165759e-05
-0.15,-2.6005435e-05
-0.14,-2.3845108e-05
-0.13,-2.1684782e-05
-0.12,-1.9565217e-05
-0.11,-1.6385869e-05
-0.1,-1.4266304e-05
-0.09,-1.2065218e-05
-0.08,-9.945652e-06
-0.07,-7.785326e-06
-0.06,-5.665761e-06
-0.05,-3.831522e-06
-0.04,-1.711957e-06
-0.03,-6.11413e-07
-0.02,-2.730978e-06
-0.01,-4.850544e-06
-0.0,-6.929348e-06
0.01,7.989131e-06
0.02,1.0067934e-05
0.03,1.2228261e-05
0.04,1.4347826e-05
0.05,1.6426631e-05
0.06,1.9605977e-05
0.07,2.1725544e-05
0.08,2.3804347e-05
0.09,2.5964675e-05
0.1,2.8084238e-05
0.11,3.0203804e-05
0.12,3.2282609e-05
0.13,3.4442935e-05
0.14,3.6521738e-05
0.15,3.8682065e-05
0.16,4.0760871e-05
0.17,4.2921194e-05
0.18,4.5081524e-05
0.19,4.7160327e-05
0.2,4.9320653e-05
0.21,5.1440216e-05
0.22,5.3519019e-05
0.23,5.5638586e-05
0.24,5.7758152e-05
0.25,5.9877719e-05
0.26,6.2038045e-05
0.27,6.4932065e-05
0.28,6.7010871e-05
0.29,6.9171198e-05
0.3,7.1249997e-05
0.31,7.3410323e-05
0.32,7.5489137e-05
0.33,7.7608696e-05
0.34,7.9687496e-05
0.35,8.1847829e-05
0.36,8.3926629e-05
0.37,8.6086955e-05
0.38,8.8125002e-05
0.39,9.0244568e-05
0.4,9.2364127e-05
0.41,9.4483694e-05
0.42,9.652174e-05
0.43,9.8641307e-05
0.44,0.000100720114
0.45,0.000102880433
0.46,0.000104959239
0.47,0.000107038039
0.48,0.000110217399
0.49,0.000112296198
0.5,0.000114415758
0.51,0.000116535324
0.52,0.000118614123
0.53,0.000120692937
0.54,0.000122812489
0.55,0.000124891303
0.56,0.000126929343
0.57,0.000129048916
0.58,0.000130801622
0.59,0.000133002715
0.6,0.000135081529
0.61,0.000137241848
0.62,0.000139402182
0.63,0.000141480981
0.64,0.00014360054
0.65,0.00014576086
0.66,0.000147880433
0.67,0.000149999993
0.68,0.000152160326
0.69,0.000155380432
0.7,0.000157500006
0.71,0.000159701085
0.72,0.000161779884
0.73,0.000163980978
0.74,0.000166100552
0.75,0.000168260871
0.76,0.00017033967
0.77,0.000172459244
0.78,0.000174660323
0.79,0.000176820657
0.8,0.000178899456
0.81,0.00018110055
0.82,0.000183260869
0.83,0.000185421202
0.84,0.000187581521
0.85,0.000189701081
0.86,0.000191820654
0.87,0.000193980988
0.88,0.000196182067
0.89,0.000198301641
0.9,0.000201195653
0.91,0.000203274467
0.92,0.000205394012
0.93,0.000207513585
0.94,0.000209633145
0.95,0.000211671198
0.96,0.000213749998
0.97,0.000215828812
0.98,0.000217948371
0.99,0.000220067945
1.0,0.000222187504
-1.0,-0.000211426624
-0.99,-0.000209266305
-0.98,-0.000207432066
-0.97,-0.000205312506
-0.96,-0.000203111413
-0.95,-0.000199891307
-0.94,-0.000197730988
-0.93,-0.000195570654
-0.92,-0.00019341032
-0.91,-0.000191209241
-0.9,-0.000189089667
-0.89,-0.000186929348
-0.88,-0.000184809789
-0.87,-0.000182608695
-0.86,-0.000180448376
-0.85,-0.000178328803
-0.84,-0.000176168469
-0.83,-0.000174048924
-0.82,-0.000171847816
-0.81,-0.000169769017
-0.8,-0.000167567938
-0.79,-0.000165529884
-0.78,-0.000163288045
-0.77,-0.000161168486
-0.76,-0.000159008152
-0.75,-0.000156888593
-0.74,-0.000153668487
-0.73,-0.000151548913
-0.72,-0.000149429354
-0.71,-0.00014722826
-0.7,-0.000145149446
-0.69,-0.000142989127
-0.68,-0.000140828808
-0.67,-0.000139076088
-0.66,-0.000136956514
-0.65,-0.000134836955
-0.64,-0.000132758156
-0.63,-0.000130597837
-0.62,-0.000128519023
-0.61,-0.000126440209
-0.6,-0.00012427989
-0.59,-0.000122160331
-0.58,-0.000119999997
-0.57,-0.00011788043
-0.56,-0.000115801624
-0.55,-0.000113682057
-0.54,-0.000111521738
-0.53,-0.000108342392
-0.52,-0.000106222826
-0.51,-0.000104103266
-0.5,-0.000101983693
-0.49,-9.9823374e-05
-0.48,-9.774456e-05
-0.47,-9.5625001e-05
-0.46,-9.3464674e-05
-0.45,-9.1304348e-05
-0.44,-8.9184781e-05
-0.43,-8.7024462e-05
-0.42,-8.4945648e-05
-0.41,-8.2785322e-05
-0.4,-8.0625003e-05
-0.39,-7.8505436e-05
-0.38,-7.634511e-05
-0.37,-7.4225543e-05
-0.36,-7.2432063e-05
-0.35,-7.0230977e-05
-0.34,-6.8070658e-05
-0.33,-6.5869564e-05
-0.32,-6.2649458e-05
-0.31,-6.0489132e-05
-0.3,-5.8328806e-05
-0.29,-5.6168476e-05
-0.28,-5.4008149e-05
-0.27,-5.1847826e-05
-0.26,-4.96875e-05
-0.25,-4.7567934e-05
-0.24,-4.5366847e-05
-0.23,-4.3247284e-05
-0.22,-4.1046194e-05
-0.21,-3.8926632e-05
-0.2,-3.6766305e-05
-0.19,-3.4605979e-05
-0.18,-3.2445652e-05
-0.17,-3.0326088e-05
-0.16,-2.8165759e-05
-0.15,-2.6046197e-05
-0.14,-2.3845108e-05
-0.13,-2.1684782e-05
-0.12,-1.9524457e-05
-0.11,-1.6345108e-05
-0.1,-1.4184783e-05
-0.09,-1.2065218e-05
-0.08,-9.904891e-06
-0.07,-7.744565e-06
-0.06,-5.665761e-06
-0.05,-3.831522e-06
-0.04,-1.630435e-06
-0.03,-6.11413e-07
-0.02,-2.730978e-06
-0.01,-4.809783e-06
-0.0,-6.929348e-06
0.01,8.029891e-06
0.02,1.0108696e-05
0.03,1.2228261e-05
0.04,1.4347826e-05
0.05,1.6426631e-05
0.06,1.9565217e-05
0.07,2.1725544e-05
0.08,2.3804347e-05
0.09,2.5964675e-05
0.1,2.8084238e-05
0.11,3.0203804e-05
0.12,3.2282609e-05
0.13,3.4442935e-05
0.14,3.6521738e-05
0.15,3.8722825e-05
0.16,4.0760871e-05
0.17,4.2880434e-05
0.18,4.5040761e-05
0.19,4.7119564e-05
0.2,4.9279894e-05
0.21,5.1399456e-05
0.22,5.3519019e-05
0.23,5.5679349e-05
0.24,5.7798916e-05
0.25,5.9918475e-05
0.26,6.2078798e-05
0.27,6.4891305e-05
0.28,6.7010871e-05
0.29,6.913043e-05
0.3,7.1249997e-05
0.31,7.3369563e-05
0.32,7.5489137e-05
0.33,7.7567936e-05
0.34,7.9687496e-05
0.35,8.1807062e-05
0.36,8.3926629e-05
0.37,8.6046195e-05
0.38,8.8125002e-05
0.39,9.0244568e-05
0.4,9.2364127e-05
0.41,9.4483694e-05
0.42,9.65625e-05
0.43,9.8682067e-05
0.44,0.000100760866
0.45,0.000102839673
