Vg (V),Isd (A)
0.19,9.954939e-05
0.18,9.9495155e-05
0.17,9.9473458e-05
0.16,9.9451761e-05
0.15,9.9408375e-05
0.14,9.9364981e-05
0.13,9.9310746e-05
0.12,9.9267345e-05
0.11,9.921311e-05
0.1,9.9180572e-05
0.09,9.9115481e-05
0.08,9.9061239e-05
0.07,9.8996163e-05
0.06,9.8920231e-05
0.05,9.885514e-05
0.04,9.8790049e-05
0.03,9.8714117e-05
0.02,9.8583943e-05
0.01,9.851886e-05
-0.0,9.8399534e-05
-0.01,9.8301913e-05
-0.02,9.8225973e-05
-0.03,9.8139193e-05
-0.04,9.8052413e-05
-0.05,9.7965632e-05
-0.06,9.7867996e-05
-0.07,9.7770368e-05
-0.08,9.7672739e-05
-0.09,9.7564269e-05
-0.1,9.7466633e-05
-0.11,9.7368997e-05
-0.12,9.7249678e-05
-0.13,9.7141201e-05
-0.14,9.6978481e-05
-0.15,9.6859163e-05
-0.16,9.673983e-05
-0.17,9.6620512e-05
-0.18,9.6490337e-05
-0.19,9.6371019e-05
-0.2,9.6229996e-05
-0.21,9.6088974e-05
-0.22,9.5958807e-05
-0.23,9.5817784e-05
-0.24,9.5687603e-05
-0.25,9.5524891e-05
-0.26,9.5362171e-05
-0.27,9.5242853e-05
-0.28,9.5058436e-05
-0.29,9.4863186e-05
-0.3,9.4743853e-05
-0.31,9.4548603e-05
-0.32,9.438589e-05
-0.33,9.4179777e-05
-0.34,9.3984519e-05
-0.35,9.3702474e-05
-0.36,9.3463823e-05
-0.37,9.3257724e-05
-0.38,9.3008231e-05
-0.39,9.2747876e-05
-0.4,9.2487535e-05
-0.41,9.220549e-05
-0.42,9.1923459e-05
-0.43,9.1619717e-05
-0.44,9.1294285e-05
-0.45,9.0958012e-05
-0.46,9.0610876e-05
-0.47,9.0209513e-05
-0.48,8.9840702e-05
-0.49,8.9417641e-05
-0.5,8.8994573e-05
-0.51,8.851727e-05
-0.52,8.8039975e-05
-0.53,8.7540975e-05
-0.54,8.7020286e-05
-0.55,8.6445361e-05
-0.56,8.5577543e-05
-0.57,8.4915831e-05
-0.58,8.4297513e-05
-0.59,8.3592422e-05
-0.6,8.2887316e-05
-0.61,8.2171369e-05
-0.62,8.142287e-05
-0.63,8.0674385e-05
-0.64,7.9904195e-05
-0.65,7.9101461e-05
-0.66,7.8428915e-05
-0.67,7.7604484e-05
-0.68,7.6780052e-05
-0.69,7.5944787e-05
-0.7,7.5087817e-05
-0.71,7.4241689e-05
-0.72,7.336303e-05
-0.73,7.2484363e-05
-0.74,7.1605697e-05
-0.75,7.0727037e-05
-0.76,6.9815833e-05
-0.77,6.8470719e-05
-0.78,6.7548659e-05
-0.79,6.6637454e-05
-0.8,6.5704546e-05
-0.81,6.4760803e-05
-0.82,6.3871281e-05
-0.83,6.2949235e-05
-0.84,6.2005485e-05
-0.85,6.1094281e-05
-0.86,6.0128827e-05
-0.87,5.9206777e-05
-0.88,5.8252179e-05
-0.89,5.7330119e-05
-0.9,5.6386372e-05
-0.91,5.5442622e-05
-0.92,5.4488024e-05
-0.93,5.3555119e-05
-0.94,5.2600521e-05
-0.95,5.1624233e-05
-0.96,5.0680479e-05
-0.97,4.9888597e-05
-0.98,4.8478392e-05
-0.99,4.7534642e-05
-1.0,4.6580044e-05
-1.01,4.5625449e-05
-1.02,4.4681699e-05
-1.03,4.3759646e-05
-1.04,4.27942e-05
-1.05,4.185045e-05
-1.06,4.0895851e-05
-1.07,3.9962946e-05
-1.08,3.9008351e-05
-1.09,3.8064598e-05
-1.1,3.711e-05
-1.11,3.6166246e-05
-1.12,3.5189958e-05
-1.13,3.4257053e-05
-1.14,3.3302458e-05
-1.15,3.2315314e-05
-1.16,3.1393261e-05
-1.17,3.0449506e-05
-1.18,2.9494908e-05
-1.19,2.8063014e-05
-1.2,2.7097567e-05
-1.21,2.6175512e-05
-1.22,2.5231764e-05
-1.23,2.4266315e-05
-1.24,2.330087e-05
-1.25,2.2346272e-05
-1.26,2.1435064e-05
-1.27,2.0491314e-05
-1.28,1.9710282e-05
-1.29,1.8744835e-05
-1.3,1.7790237e-05
-1.31,1.6857335e-05
-1.32,1.5881042e-05
-1.33,1.4926442e-05
-1.34,1.395015e-05
-1.35,1.3017246e-05
-1.36,1.2095192e-05
-1.37,1.1140593e-05
-1.38,1.0175148e-05
-1.39,9.209702e-06
-1.4,7.777805e-06
-1.41,6.801512e-06
-1.42,5.868609e-06
-1.43,4.903162e-06
-1.44,3.937717e-06
-1.45,2.972271e-06
