Vg (V),Vsd (V),Isd (A)
-15.0,-0.1,-84.987
-15.0,-0.2,-93.883
-15.0,-0.3,-97.114
-15.0,-0.4,-4433.511
-15.0,-0.5,-44698.138
-15.0,-0.6,-92291.223
-15.0,-0.7,-92299.202
-15.0,-0.8,-92299.202
-15.0,-0.9,-92291.223
-15.0,-1.0,-92295.213
-15.0,-1.0,-92291.223
-15.0,-0.9,-92295.213
-15.0,-0.8,-92295.213
-15.0,-0.7,-92295.213
-15.0,-0.6,-92291.223
-15.0,-0.5,-44742.021
-15.0,-0.4,-4441.489
-15.0,-0.3,-97.992
-15.0,-0.2,-94.92
-15.0,-0.1,-81.715
-15.0,-0.0,-89.854
-15.0,0.1,92.128
-15.0,0.2,85.864
-15.0,0.3,91.17
-15.0,0.4,86.104
-15.0,0.5,89.614
-15.0,0.6,88.697
-15.0,0.7,96.396
-15.0,0.8,82.633
-15.0,0.9,88.697
-15.0,1.0,88.138
-15.0,1.0,88.138
-15.0,0.9,88.617
-15.0,0.8,94.003
-15.0,0.7,82.673
-15.0,0.6,85.864
-15.0,0.5,89.614
-15.0,0.4,89.415
-15.0,0.3,94.043
-15.0,0.2,82.434
-15.0,0.1,86.582
-15.0,0.0,89.934
-10.0,-0.1,-75.572
-10.0,-0.2,-71.383
-10.0,-0.3,-99.548
-10.0,-0.4,-4445.479
-10.0,-0.5,-44690.16
-10.0,-0.6,-92271.277
-10.0,-0.7,-92291.223
-10.0,-0.8,-92287.234
-10.0,-0.9,-92287.234
-10.0,-1.0,-92287.234
-10.0,-1.0,-92283.245
-10.0,-0.9,-92283.245
-10.0,-0.8,-92283.245
-10.0,-0.7,-92287.234
-10.0,-0.6,-92275.266
-10.0,-0.5,-44670.213
-10.0,-0.4,-4461.436
-10.0,-0.3,-115.864
-10.0,-0.2,-76.689
-10.0,-0.1,-112.154
-10.0,-0.0,-92.008
-10.0,0.1,77.367
-10.0,0.2,90.412
-10.0,0.3,81.995
-10.0,0.4,80.798
-10.0,0.5,73.098
-10.0,0.6,81.316
-10.0,0.7,61.769
-10.0,0.8,82.713
-10.0,0.9,89.495
-10.0,1.0,87.34
-10.0,1.0,83.75
-10.0,0.9,82.992
-10.0,0.8,87.819
-10.0,0.7,86.024
-10.0,0.6,96.875
-10.0,0.5,43.856
-10.0,0.4,80.798
-10.0,0.3,80.319
-10.0,0.2,77.128
-10.0,0.1,92.606
-10.0,0.0,78.324
-5.0,-0.1,-15.332
-5.0,-0.2,-175.266
-5.0,-0.3,-84.309
-5.0,-0.4,-4397.606
-5.0,-0.5,-44686.17
-5.0,-0.6,-92271.277
-5.0,-0.7,-92283.245
-5.0,-0.8,-92275.266
-5.0,-0.9,-92275.266
-5.0,-1.0,-92275.266
-5.0,-1.0,-92267.287
-5.0,-0.9,-92267.287
-5.0,-0.8,-92275.266
-5.0,-0.7,-92275.266
-5.0,-0.6,-92267.287
-5.0,-0.5,-44698.138
-5.0,-0.4,-4361.702
-5.0,-0.3,-84.468
-5.0,-0.2,-15.133
-5.0,-0.1,-15.133
-5.0,-0.0,-16.809
-5.0,0.1,15.971
-5.0,0.2,157.234
-5.0,0.3,14.934
-5.0,0.4,16.569
-5.0,0.5,15.652
-5.0,0.6,170.878
-5.0,0.7,16.609
-5.0,0.8,14.814
-5.0,0.9,16.33
-5.0,1.0,15.851
-5.0,1.0,15.133
-5.0,0.9,17.487
-5.0,0.8,15.492
-5.0,0.7,17.886
-5.0,0.6,14.654
-5.0,0.5,111.476
-5.0,0.4,16.689
-5.0,0.3,14.894
-5.0,0.2,16.649
-5.0,0.1,15.731
-5.0,0.0,179.973
0.0,-0.1,-4.402
0.0,-0.2,-5.16
0.0,-0.3,-136.649
0.0,-0.4,-5590.426
0.0,-0.5,-49748.67
0.0,-0.6,-92247.34
0.0,-0.7,-92259.309
0.0,-0.8,-92259.309
0.0,-0.9,-92251.33
0.0,-1.0,-92243.351
0.0,-1.0,-92247.34
0.0,-0.9,-92243.351
0.0,-0.8,-92251.33
0.0,-0.7,-92251.33
0.0,-0.6,-92243.351
0.0,-0.5,-49748.67
0.0,-0.4,-5606.383
0.0,-0.3,-135.811
0.0,-0.2,-4.641
0.0,-0.1,-4.043
