Vg (V),Current (nA)
-50.0,395.08
-49.0,152.926
-48.0,427.394
-47.0,108.644
-46.0,411.835
-45.0,353.59
-44.0,404.255
-43.0,101.064
-42.0,123.404
-41.0,105.851
-40.0,379.92
-39.0,158.511
-38.0,234.309
-37.0,125.399
-36.0,582.181
-35.0,772.473
-34.0,96.277
-33.0,1105.585
-32.0,1719.548
-31.0,916.888
-30.0,1120.745
-29.0,164.894
-28.0,1640.16
-27.0,1167.021
-26.0,2746.41
-25.0,1271.144
-24.0,2682.181
-23.0,8857.713
-22.0,5039.894
-21.0,19561.17
-20.0,23430.851
-19.0,8074.601
-18.0,8523.005
-17.0,10106.383
-16.0,40026.596
-15.0,51755.319
-14.0,36117.021
-13.0,30890.957
-12.0,40864.362
-11.0,46569.149
-10.0,72619.681
-9.0,87579.787
-8.0,95997.34
-7.0,90771.277
-6.0,113550.532
-5.0,119295.213
-4.0,121409.574
-3.0,131981.383
-2.0,139481.383
-1.0,146742.021
-0.0,155718.085
1.0,166888.298
2.0,200837.766
3.0,208297.872
4.0,218909.574
5.0,235066.489
6.0,244640.957
7.0,243962.766
8.0,257885.638
9.0,269933.511
10.0,280345.745
11.0,294428.191
12.0,303125.0
13.0,315970.745
14.0,329694.149
15.0,339029.255
16.0,350000.0
17.0,359853.723
18.0,372101.064
19.0,383470.745
20.0,395119.681
21.0,406369.681
22.0,418337.766
23.0,428989.362
24.0,440757.979
25.0,451968.085
26.0,463736.702
27.0,473949.468
28.0,485239.362
29.0,495412.234
30.0,505824.468
31.0,516555.851
32.0,527726.064
33.0,520026.596
34.0,519587.766
35.0,519069.149
36.0,517792.553
37.0,517593.085
38.0,516835.106
39.0,516675.532
40.0,516077.128
41.0,515518.617
42.0,515039.894
43.0,514561.17
44.0,513803.191
45.0,514202.128
46.0,513683.511
47.0,514042.553
48.0,513922.872
49.0,513683.511
50.0,514002.66
50.0,514002.66
49.0,513643.617
48.0,513603.723
47.0,513125.0
46.0,513484.043
45.0,513484.043
44.0,512765.957
43.0,512686.17
42.0,512726.064
41.0,513045.213
40.0,512885.638
39.0,512845.745
38.0,512167.553
37.0,512805.851
36.0,512726.064
35.0,512287.234
34.0,513324.468
33.0,512885.638
32.0,513563.83
31.0,512885.638
30.0,512765.957
29.0,488550.532
28.0,477539.894
27.0,465372.34
26.0,454441.489
25.0,442553.191
24.0,431303.191
23.0,418617.021
22.0,406369.681
21.0,393484.043
20.0,381675.532
19.0,368590.426
18.0,357380.319
17.0,345132.979
16.0,334002.66
15.0,323191.489
14.0,311821.809
13.0,300970.745
12.0,289042.553
11.0,281263.298
10.0,271808.511
9.0,251223.404
8.0,247114.362
7.0,231954.787
6.0,225930.851
5.0,218231.383
4.0,193138.298
3.0,187154.255
2.0,175824.468
1.0,164534.574
0.0,154042.553
-1.0,140518.617
-2.0,107207.447
-3.0,101781.915
-4.0,88297.872
-5.0,83710.106
-6.0,75731.383
-7.0,67553.191
-8.0,76928.191
-9.0,62486.702
-10.0,53430.851
-11.0,36715.426
-12.0,29973.404
-13.0,25904.255
-14.0,22154.255
-15.0,21396.277
-16.0,9566.223
-17.0,18962.766
-18.0,11502.66
-19.0,9565.824
-20.0,1781.383
-21.0,3567.021
-22.0,4206.516
-23.0,1438.298
-24.0,2113.697
-25.0,1371.676
-26.0,165.691
-27.0,983.511
-28.0,739.362
-29.0,447.34
-30.0,233.511
-31.0,284.574
-32.0,289.362
-33.0,294.947
-34.0,67.952
-35.0,268.218
-36.0,71.543
-37.0,359.574
-38.0,316.09
-39.0,96.277
-40.0,156.117
-41.0,102.261
-42.0,394.681
-43.0,401.463
-44.0,321.277
-45.0,166.888
-46.0,120.213
-47.0,146.941
-48.0,191.223
-49.0,141.755
